den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,5110,Železný Brod,78,18,11,183,43,25,20,12,298,5110,Železný Brod,12182,2797,CZ051,Liberecký kraj,1781.3166967657198,20,False,0,1787.629603146228,20,True,2,26.174496644295303,30,False,0,0.65,0,72
pátek,2020-11-13,5201,Broumov,57,12,5,141,24,13,11,7,223,5201,Broumov,15876,3561,CZ052,Královéhradecký kraj,1070.798689846309,20,False,0,786.2959842740803,16,True,2,25.56053811659193,25,False,0,0.5816326530612245,0,63
pátek,2020-11-13,5202,Dobruška,137,33,16,245,57,27,13,11,414,5202,Dobruška,20190,4276,CZ052,Královéhradecký kraj,1431.401684001981,20,False,0,1590.2712815715622,20,True,2,33.091787439613526,30,False,0,0.9133333333333333,5,77
pátek,2020-11-13,5203,Dvůr Králové nad Labem,119,34,13,345,83,31,24,15,460,5203,Dvůr Králové nad Labem,26949,6223,CZ052,Královéhradecký kraj,1487.9958440016328,20,False,0,1381.9701108789973,20,True,2,25.869565217391305,25,False,0,0.5085470085470085,0,67
pátek,2020-11-13,5204,Hořice,138,30,13,258,44,18,9,6,376,5204,Hořice,18377,4041,CZ052,Královéhradecký kraj,1735.8654840289491,20,True,0,1385.7955951497154,20,True,2,36.702127659574465,30,True,2,0.8846153846153846,5,79
pátek,2020-11-13,5205,Hradec Králové,574,183,107,1399,348,199,127,61,2668,5205,Hradec Králové,146899,32484,CZ052,Královéhradecký kraj,1198.7828371874552,20,False,0,1219.0616919098634,20,True,2,21.51424287856072,20,False,0,0.6132478632478633,0,62
pátek,2020-11-13,5206,Jaroměř,84,23,16,178,35,23,12,9,310,5206,Jaroměř,19273,3792,CZ052,Královéhradecký kraj,1151.8704923986925,20,False,0,1107.5949367088608,20,True,2,27.09677419354839,30,False,0,0.711864406779661,0,72
pátek,2020-11-13,5207,Jičín,308,76,44,615,125,66,38,19,1031,5207,Jičín,48382,10108,CZ052,Královéhradecký kraj,1655.5743871687816,20,False,0,1543.3320142461416,20,True,2,29.873908826382152,30,False,0,0.6581196581196581,0,72
pátek,2020-11-13,5208,Kostelec nad Orlicí,178,46,26,304,75,44,9,9,501,5208,Kostelec nad Orlicí,24892,5311,CZ052,Královéhradecký kraj,1534.6295998714445,20,False,0,1619.2807380907552,20,True,2,35.528942115768466,30,True,2,0.9035532994923858,5,79
pátek,2020-11-13,5209,Náchod,347,85,42,828,188,115,43,30,1333,5209,Náchod,60595,13494,CZ052,Královéhradecký kraj,1719.6138295238882,20,False,0,1682.2291388765377,20,True,2,26.03150787696924,30,False,0,0.5688524590163935,0,72
pátek,2020-11-13,5210,Nová Paka,71,14,7,176,48,29,5,3,220,5210,Nová Paka,13286,2887,CZ052,Královéhradecký kraj,1497.8172512419087,20,False,0,1801.1776931070315,20,True,2,32.27272727272727,30,False,0,0.5298507462686567,0,72
